"","scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"10064","Prosartes hookeri","Torr.",51071,"Plantae","Tracheophyta","Liliopsida","Liliales","",NA,NA,"Liliaceae","Prosartes",NA,"Prosartes hookeri","","species","iNaturalist","Observations","48175454","","https://www.inaturalist.org/observations/48175454","Cole Gaerber","",NA,"2020-06-01",2020,6,1,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",26454,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Cole Gaerber",NA,NA,NA,NA,NA,12828,2020,"Tantalus Park","Ib","No","A - Park","Sub-national Government","Government of British Columbia","Ib",49.874638,-123.357683
"13252","Triantha glutinosa","Michx.",169913,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,NA,"Tofieldiaceae","Triantha",NA,"Triantha glutinosa","","species","UBC","UBCVascular","V58277","","BAB00E83-4467-A241-9B78-906A3354BCA9","Vernon C. Brink","s.n.",NA,"1944-08-04",1944,8,4,"PRESERVED_SPECIMEN","Squamish, Tantalus Range",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"John W. Eastham",NA,NA,NA,NA,NA,16801,1944,"Tantalus Park","Ib","No","A - Park","Sub-national Government","Government of British Columbia","Ib",49.816667,-123.3
"4112","Drosera rotundifolia","L.",52658,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","",NA,NA,"Droseraceae","Drosera",NA,"Drosera rotundifolia","","species","iNaturalist","Observations","29553182","","https://www.inaturalist.org/observations/29553182","Ben Keen","",NA,"2019-07-25",2019,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,5211,2019,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.34491,-123.401733
"5612","Goodyera oblongifolia","Raf.",50719,"Plantae","Tracheophyta","Liliopsida","Asparagales","",NA,NA,"Orchidaceae","Goodyera",NA,"Goodyera oblongifolia","","species","iNaturalist","Observations","62962439","","https://www.inaturalist.org/observations/62962439","Ben Keen","",NA,"2020-10-18",2020,10,18,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",326,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,7030,2020,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.344042,-123.397744
"6185","Hypericum anagalloides","Cham. & Schltdl.",61032,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","",NA,NA,"Hypericaceae","Hypericum",NA,"Hypericum anagalloides","","species","iNaturalist","Observations","29552891","","https://www.inaturalist.org/observations/29552891","Ben Keen","",NA,"2019-07-25",2019,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,7709,2019,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.34499,-123.401787
"6194","Hypericum anagalloides","Cham. & Schltdl.",61032,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","",NA,NA,"Hypericaceae","Hypericum",NA,"Hypericum anagalloides","","species","iNaturalist","Observations","92178337","","https://www.inaturalist.org/observations/92178337","Ben Keen","",NA,"2021-08-22",2021,8,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,7718,2021,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.344856,-123.401767
"8286","Oenanthe sarmentosa","C. Presl ex DC.",60127,"Plantae","Tracheophyta","Magnoliopsida","Apiales","",NA,NA,"Apiaceae","Oenanthe",NA,"Oenanthe sarmentosa","","species","iNaturalist","Observations","29554205","","https://www.inaturalist.org/observations/29554205","Ben Keen","",NA,"2019-07-25",2019,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,10728,2019,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.344841,-123.401779
"12589","Struthiopteris spicant","(L.) F.W. Weiss",774894,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Blechnaceae","Struthiopteris",NA,"Struthiopteris spicant","","species","iNaturalist","Observations","57384212","","https://www.inaturalist.org/observations/57384212","Tobin Sparling","",NA,"2020-08-23",2020,8,23,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",3856,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,16054,2020,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.344947,-123.402703
"14287","Veronica scutellata","L.",61112,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","",NA,NA,"Plantaginaceae","Veronica",NA,"Veronica scutellata","","species","iNaturalist","Observations","29553335","","https://www.inaturalist.org/observations/29553335","Ben Keen","",NA,"2019-07-25",2019,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,18014,2019,"Fairy Fen Nature Reserve","IV","No","Privately Owned Conservation Area","Non-profit Organizations","Islands Trust Conservancy (Lead Organization)","IV",49.344891,-123.401848
"7479","Maianthemum stellatum","(L.) Link.",53268,"Plantae","Tracheophyta","Liliopsida","Asparagales","",NA,NA,"Asparagaceae","Maianthemum",NA,"Maianthemum stellatum","","species","iNaturalist","Observations","54336059","","https://www.inaturalist.org/observations/54336059","Rand Rudland","",NA,"2020-07-25",2020,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",659,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Rand Rudland",NA,NA,NA,NA,NA,9727,2020,"Wildlife Habitat Areas","N/A","Yes","Wildlife Habitat Areas","Sub-national Government","Government of British Columbia","OECM",49.488963,-123.581099
"3346","Coptis aspleniifolia","Salisb.",160861,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","",NA,NA,"Ranunculaceae","Coptis",NA,"Coptis aspleniifolia","","species","E","E","E01021487","","http://data.rbge.org.uk/herb/E01021487","Edinburgh, Howick Expedition to British Columbia (EHBC)","8",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,3970,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.572778,-123.59
"5478","Gentiana sceptrum","Griseb.",77244,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","",NA,NA,"Gentianaceae","Gentiana",NA,"Gentiana sceptrum","","species","E","E","E01021480","","http://data.rbge.org.uk/herb/E01021480","Edinburgh, Howick Expedition to British Columbia (EHBC)","1",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"",NA,NA,NA,NA,NA,6748,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.571111,-123.594444
"6287","Kalmia microphylla var. occidentalis","(Hook.) A.Heller",1035494,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Kalmia",NA,"Kalmia microphylla","occidentalis","varietas","E","E","E01021496","","http://data.rbge.org.uk/herb/E01021496","Edinburgh, Howick Expedition to British Columbia (EHBC)","3",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2020)",NA,"",NA,NA,NA,NA,NA,8268,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.571111,-123.594444
"6887","Lycopodium clavatum","L.",77914,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","",NA,NA,"Lycopodiaceae","Lycopodium",NA,"Lycopodium clavatum","","species","E","E","E01021488","","http://data.rbge.org.uk/herb/E01021488","Edinburgh, Howick Expedition to British Columbia (EHBC)","9",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,9118,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.572778,-123.59
"12382","Streptopus amplexifolius","(L.) DC.",79273,"Plantae","Tracheophyta","Liliopsida","Liliales","",NA,NA,"Liliaceae","Streptopus",NA,"Streptopus amplexifolius","","species","E","E","E01021502","","http://data.rbge.org.uk/herb/E01021502","Edinburgh, Howick Expedition to British Columbia (EHBC)","7",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5",NA,"",NA,NA,NA,NA,NA,15844,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.572778,-123.59
"13250","Triantha glutinosa","Michx.",169913,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,NA,"Tofieldiaceae","Triantha",NA,"Triantha glutinosa","","species","E","E","E01021481","","http://data.rbge.org.uk/herb/E01021481","Edinburgh, Howick Expedition to British Columbia (EHBC)","2",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"",NA,NA,NA,NA,NA,16799,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.571111,-123.594444
"13774","Vaccinium ovalifolium","Sm.",63820,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Vaccinium",NA,"Vaccinium ovalifolium","","species","E","E","E01021489","","http://data.rbge.org.uk/herb/E01021489","Edinburgh, Howick Expedition to British Columbia (EHBC)","10",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,17435,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.571111,-123.594444
"14067","Vaccinium uliginosum","L.",64714,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,NA,"Ericaceae","Vaccinium",NA,"Vaccinium uliginosum","","species","E","E","E01021482","","http://data.rbge.org.uk/herb/E01021482","Edinburgh, Howick Expedition to British Columbia (EHBC)","4",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"",NA,NA,NA,NA,NA,17731,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.572778,-123.59
"14299","Viburnum edule","(Michx.) Raf.",79499,"Plantae","Tracheophyta","Magnoliopsida","Dipsacales","",NA,NA,"Viburnaceae","Viburnum",NA,"Viburnum edule","","species","E","E","E01021483","","http://data.rbge.org.uk/herb/E01021483","Edinburgh, Howick Expedition to British Columbia (EHBC)","5",NA,"2016-08-25",2016,8,25,"PRESERVED_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"",NA,NA,NA,NA,NA,18043,2016,"Tetrahedron Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.572778,-123.59
"32","Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","48605781","","https://www.inaturalist.org/observations/48605781","Cole Gaerber","",NA,"2020-06-05",2020,6,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",26518,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Kaichi Huang",NA,NA,NA,NA,NA,32,2020,"Halkett Bay Marine Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.458265,-123.334248
"9283","Plectritis congesta","(Lindl.) DC.",57786,"Plantae","Tracheophyta","Magnoliopsida","Dipsacales","",NA,NA,"Caprifoliaceae","Plectritis",NA,"Plectritis congesta","","species","iNaturalist","Observations","78656095","","https://www.inaturalist.org/observations/78656095","kristinop","",NA,"2021-05-13",2021,5,13,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"kristinop",NA,NA,NA,NA,NA,11988,2021,"Halkett Bay Marine Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.452713,-123.328178
"9979","Polystichum munitum","(Kaulf.) C. Presl",47751,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Dryopteridaceae","Polystichum",NA,"Polystichum munitum","","species","iNaturalist","Observations","35541536","","https://www.inaturalist.org/observations/35541536","Riley Pollom","",NA,"2019-11-09",2019,11,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",19,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Randal",NA,NA,NA,NA,NA,12725,2019,"Halkett Bay Marine Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.45669,-123.329616
"10254","Pseudotsuga menziesii var. menziesii","(Mirb.) Franco",48256,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,NA,"Pinaceae","Pseudotsuga",NA,"Pseudotsuga menziesii","menziesii","varietas","iNaturalist","Observations","35508631","","https://www.inaturalist.org/observations/35508631","Riley Pollom","",NA,"2019-11-09",2019,11,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Riley Pollom",NA,NA,NA,NA,NA,13077,2019,"Halkett Bay Marine Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.454933,-123.32632
"10981","Rosa nutkana ssp. nutkana","C. Presl",78883,"Plantae","Tracheophyta","Magnoliopsida","Rosales","",NA,NA,"Rosaceae","Rosa",NA,"Rosa nutkana","nutkana","subspecies","iNaturalist","Observations","78655872","","https://www.inaturalist.org/observations/78655872","kristinop","",NA,"2021-05-13",2021,5,13,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",8,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5",NA,"kristinop",NA,NA,NA,NA,NA,13966,2021,"Halkett Bay Marine Park","II","No","A - Park","Sub-national Government","Government of British Columbia","II",49.452387,-123.328255
"175","Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","26276835","","https://www.inaturalist.org/observations/26276835","Lena Dietz Chiasson","",NA,"2019-05-30",2019,5,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Lena Dietz Chiasson",NA,NA,NA,NA,NA,179,2019,"Murrin Park","N/A","No","A - Park","Sub-national Government","Government of British Columbia","N/A",49.645748,-123.204439
"745","Alnus rubra","Bong.",56034,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,NA,"Betulaceae","Alnus",NA,"Alnus rubra","","species","iNaturalist","Observations","36693761","","https://www.inaturalist.org/observations/36693761","John D Reynolds","",NA,"2019-12-15",2019,12,15,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",10,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John D Reynolds",NA,NA,NA,NA,NA,901,2019,"Murrin Park","N/A","No","A - Park","Sub-national Government","Government of British Columbia","N/A",49.644986,-123.206489
"1916","Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","26276827","","https://www.inaturalist.org/observations/26276827","Lena Dietz Chiasson","",NA,"2019-05-30",2019,5,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Lena Dietz Chiasson",NA,NA,NA,NA,NA,2150,2019,"Murrin Park","N/A","No","A - Park","Sub-national Government","Government of British Columbia","N/A",49.645881,-123.204382
"2093","Berberis nervosa","Pursh",75756,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","",NA,NA,"Berberidaceae","Berberis",NA,"Berberis nervosa","","species","iNaturalist","Observations","18763309","","https://www.inaturalist.org/observations/18763309","Ben Keen","",NA,"2018-12-01",2018,12,1,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",10,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Ben Keen",NA,NA,NA,NA,NA,2360,2018,"Murrin Park","N/A","No","A - Park","Sub-national Government","Government of British Columbia","N/A",49.645481,-123.204825
