id,ZONE,VRNTNM,SBZNNM,SUBZONE,NTRLDSTRB1,MAP_LABEL,NTRLDSTRBN,BGC_LABEL,VARIANT,ZONE_NAME,HA,UTM_E,UTM_N,ELEV,SOL,REGION
925,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,74.1,"467290","5522385","521","394",2A
926,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,56.6,"467290","5521385","987","91",2A
927,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,50.4,"467290","5520385","1364","497",2A
928,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,79.7,"467290","5519385","1230","126",2A
929,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,94.7,"467290","5518385","1675","93",2A
930,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,60.3,"467290","5517385","1493","565",2A
931,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,60.8,"467290","5516385","938","542",2A
932,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,57.7,"467290","5515385","1070","377",2A
933,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,74.6,"467290","5514385","1282","91",2A
934,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,59.9,"467290","5513385","774","228",2A
935,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,52.2,"467290","5512385","198","506",2A
936,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,76.3,"467290","5511385","51","658",2A
937,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,82.7,"467290","5510385","212","88",2A
938,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,61.7,"467290","5509385","659","754",2A
939,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,55.5,"467290","5508385","957","841",2A
940,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,71.2,"467290","5507385","1320","483",2A
941,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,83.9,"467290","5506385","1535","379",2A
942,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,59.6,"467290","5505385","1164","563",2A
943,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,91.8,"467290","5504385","1054","925",3A
944,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,66.3,"467290","5503385","632","505",3A
945,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"467290","5502385","507","652",3A
946,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,57.3,"467290","5501385","962","429",3A
947,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,86.3,"467290","5500385","1228","533",3A
948,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,68.7,"467290","5499385","1203","446",3A
949,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,88.3,"467290","5498385","1244","386",3A
950,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,99.8,"467290","5497385","1373","66",3A
951,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,50.6,"467290","5496385","919","599",3A
952,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,89.7,"467290","5495385","1238","746",3A
953,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,68.2,"467290","5494385","870","494",3A
954,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,80.4,"467290","5493385","1265","85",3A
955,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,96.2,"467290","5492385","805","482",3A
956,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,92.3,"467290","5491385","1239","568",3A
957,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,100.1,"467290","5490385","1288","424",3A
958,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,72.8,"467290","5489385","953","642",3A
959,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,80.6,"467290","5488385","523","589",3A
960,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"467290","5487385","139","440",3A
961,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,60.0,"467290","5486385","0","660",3A
962,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"467290","5485385","0","660",3A
963,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,85.1,"467290","5484385","0","660",4A
964,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,70.3,"467290","5483385","0","661",4A
965,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,96.6,"467290","5482385","0","661",4A
966,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5481385","0","661",4A
967,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5480385","0","859",4A
968,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5479385","120","766",4A
969,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5478385","0","661",4A
970,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5477385","0","661",4A
971,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5476385","0","662",4A
972,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5475385","0","662",4A
973,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5474385","0","662",4A
974,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5473385","0","662",4A
975,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5472385","156","774",4A
976,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5471385","121","617",4A
977,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5470385","0","663",4A
978,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5469385","14","601",4A
979,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5468385","0","663",4A
980,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5467385","0","663",4A
981,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5466385","0","663",4A
982,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5465385","0","663",4A
983,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5464385","0","663",4A
984,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"467290","5463385","0","664",4A
985,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5544385","2010","796",1A
986,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5543385","2235","883",1A
987,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5542385","2227","524",1A
988,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5541385","2253","472",1A
989,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5540385","2209","712",1A
990,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5539385","2220","899",1A
991,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"468290","5538385","1844","662",1A
992,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,85.5,"468290","5537385","1592","475",1A
993,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,52.9,"468290","5536385","1155","1013",1A
994,CWH,Southern,Moist Submaritime,ms,Ecosystems with infrequent stand-initiating events,CWHms1,NDT2,CWH ms 1,"1",Coastal Western Hemlock,100.1,"468290","5535385","623","825",1A
995,CWH,Southern,Moist Submaritime,ms,Ecosystems with infrequent stand-initiating events,CWHms1,NDT2,CWH ms 1,"1",Coastal Western Hemlock,100.1,"468290","5534385","671","391",1A
996,CWH,Southern,Moist Submaritime,ms,Ecosystems with infrequent stand-initiating events,CWHms1,NDT2,CWH ms 1,"1",Coastal Western Hemlock,100.1,"468290","5533385","776","518",1A
997,MH,Leeward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm2,NDT1,MH  mm 2,"2",Mountain Hemlock,35.8,"468290","5532385","1190","88",1A
998,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,66.0,"468290","5531385","1459","527",1A
999,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.0,"468290","5530385","1592","901",1A
1000,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.0,"468290","5529385","1488","365",1A
1001,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,69.7,"468290","5528385","1450","496",1A
1002,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,51.1,"468290","5527385","1227","582",1A
1003,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,63.8,"468290","5526385","1420","311",1A
1004,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,65.9,"468290","5525385","1437","493",1A
1005,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,60.0,"468290","5524385","1453","488",2A
1006,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,64.8,"468290","5523385","1047","228",2A
1007,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"468290","5522385","375","609",2A
1008,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,85.3,"468290","5521385","1061","573",2A
1009,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,90.9,"468290","5520385","826","864",2A
1010,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,55.8,"468290","5519385","1169","1010",2A
1011,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,98.5,"468290","5518385","1645","85",2A
1012,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,98.2,"468290","5517385","1660","388",2A
1013,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,44.9,"468290","5516385","1269","216",2A
1014,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,74.8,"468290","5515385","716","430",2A
1015,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,40.2,"468290","5514385","511","307",2A
1016,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,73.2,"468290","5513385","333","509",2A
1017,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"468290","5512385","51","658",2A
1018,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,97.6,"468290","5511385","223","766",2A
1019,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,80.9,"468290","5510385","344","771",2A
1020,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,55.2,"468290","5509385","494","857",2A
1021,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,79.3,"468290","5508385","602","586",2A
1022,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,81.1,"468290","5507385","885","87",2A
1023,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,77.1,"468290","5506385","1186","408",2A
1024,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,73.8,"468290","5505385","1488","624",2A
1025,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,84.1,"468290","5504385","1105","446",3A
1026,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,63.3,"468290","5503385","697","396",3A
1027,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,100.1,"468290","5502385","486","668",3A
1028,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,84.3,"468290","5501385","663","700",3A
1029,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,60.6,"468290","5500385","991","329",3A
1030,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,58.8,"468290","5499385","822","583",3A
1031,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,70.8,"468290","5498385","832","538",3A
1032,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,65.0,"468290","5497385","978","482",3A
1033,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,62.0,"468290","5496385","786","461",3A
1034,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,42.1,"468290","5495385","1126","841",3A
1035,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,36.4,"468290","5494385","664","556",3A
1036,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,44.1,"468290","5493385","1036","409",3A
1037,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,41.8,"468290","5492385","663","98",3A
1038,MH,Windward,Moist Maritime,mm,Ecosystems with rare stand-initiating events,MHmm1,NDT1,MH  mm 1,"1",Mountain Hemlock,70.2,"468290","5491385","1128","511",3A
1039,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,54.2,"468290","5490385","883","276",3A
1040,CWH,Montane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm2,NDT1,CWH vm 2,"2",Coastal Western Hemlock,66.8,"468290","5489385","946","424",3A
1041,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,98.0,"468290","5488385","446","355",3A
1042,CWH,Submontane,Very Wet Maritime,vm,Ecosystems with rare stand-initiating events,CWHvm1,NDT1,CWH vm 1,"1",Coastal Western Hemlock,86.7,"468290","5487385","0","660",3A
1043,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,98.7,"468290","5486385","0","660",3A
1044,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"468290","5485385","0","660",3A
1045,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,100.1,"468290","5484385","163","913",4A
1046,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,95.6,"468290","5483385","508","437",4A
1047,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,66.4,"468290","5482385","236","956",4A
1048,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,67.7,"468290","5481385","172","823",4A
1049,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,54.0,"468290","5480385","136","607",4A
1050,CWH,,Dry Maritime,dm,Ecosystems with infrequent stand-initiating events,CWHdm,NDT2,CWH dm,,Coastal Western Hemlock,62.3,"468290","5479385","117","742",4A
1051,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,94.9,"468290","5478385","93","654",4A
1052,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5477385","0","778",4A
1053,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5476385","35","642",4A
1054,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5475385","0","662",4A
1055,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5474385","0","662",4A
1056,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5473385","0","662",4A
1057,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5472385","124","621",4A
1058,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5471385","70","596",4A
1059,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5470385","0","663",4A
1060,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5469385","0","663",4A
1061,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5468385","0","663",4A
1062,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5467385","0","663",4A
1063,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5466385","0","663",4A
1064,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5465385","0","663",4A
1065,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5464385","0","663",4A
1066,CWH,Eastern,Very Dry Maritime,xm,Ecosystems with infrequent stand-initiating events,CWHxm1,NDT2,CWH xm 1,"1",Coastal Western Hemlock,100.1,"468290","5463385","0","664",4A
1067,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"469290","5544385","2182","764",1A
1068,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"469290","5543385","2045","509",1A
1069,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"469290","5542385","1855","386",1A
1070,CMA,,Undifferentiated and Parkland,unp,Alpine Tundra and Subalpine Parkland ecosystems,CMAunp,NDT5,CMA unp,,Coastal Mountain-heather Alpine,100.1,"469290","5541385","1856","693",1A
