"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"104","Carex rossii","Boott","","ross' sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Carex","Carex rossii","","","","native","S5",NA,"1967-08-21","V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina","UBC","V161039",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:125",NA,2,"reported","unobserved","UBC:  Garibaldi PP Sentinel Gl foreland",76099,"VAS"
"105","Carex saxatilis","L.","","russet sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Carex","Carex saxatilis","","","","native","S5 (2019)",NA,"1960-08-29","E.B.P.","UBC","V206769",NA,"2021-08-27","Cole Gaerber","iNaturalist","92745265",NA,5,"confirmed","observed","",160096,"VAS"
"106","Carex spectabilis","Dewey","","showy sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Carex","Carex spectabilis","","","","native","S5",NA,"1912-08-11","John Davidson","UBC","V42672",NA,"2020-08-26","citizen1","iNaturalist","58157422",NA,21,"confirmed","observed","iNat: needs i.d.",76111,"VAS"
"107","Carex stipata","Muhl. ex Willd","","awl-fruited sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Carex","Carex stipata","","","","native","S5 (2019)",NA,"2021-06-04","RWorcester","iNaturalist","81651055",NA,"2022-06-30","jin","iNaturalist","124193809",NA,5,"new 2021","observed","iNat: needs i.d.",76114,"VAS"
"108","Carex stylosa","C.A. Mey.","","long-styled sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Carex","Carex stylosa","","","","native","S5",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:128",NA,"2021-08-27","Cole Gaerber","iNaturalist","92745268",NA,2,"new 2020","observed","UBC:  Hollyburn Plateau",160115,"VAS"
"109","Cassiope mertensiana ssp. mertensiana","(Bong.) D. Don","","western moss-heather","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Cassiopoideae",NA,"Cassiope","Cassiope mertensiana","","mertensiana","","native","S5 (2019)",NA,"1913-07-30","W. Taylor","UBC","V15895",NA,"2022-08-29","zhiyue","iNaturalist","132862596",NA,68,"confirmed","observed","",126554,"VAS"
"110","Castilleja elmeri","Fernald","","elmer indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja elmeri","","","","native","S4 (2015)",NA,"1961-08-19","E.B. Petersen","UBC","V97862",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:132",NA,2,"reported","unobserved","UBC:  Garibaldi PP Little Diamond Head. see https://www.inaturalist.org/observations/29204903 Mark Egger wrote  """"This looks like the North Cascades form of C. elmeri, which does extend into BC. Did you consider that species?""",147018,"VAS"
"111","Castilleja hispida var. hispida","Benth.","","harsh indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja hispida","","","hispida","native","S4 (2015)",NA,"2005-07-10","Steve Ansell","iNaturalist","109340347",NA,"2022-07-10","Ben Keen","iNaturalist","125688130",NA,18,"confirmed","observed","UBC:West Vancouver Copper Cove",234938,"VAS"
"112","Castilleja miniata var. miniata","Douglas ex Hook.","","scarlet paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja miniata","","","miniata","native","S5 (2000)",NA,"1923-07-15","Geraldine Allen","RBCM","V006513Y",NA,"2022-08-23","savannahrouse","iNaturalist","132156718",NA,31,"confirmed","observed","",79691,"VAS"
"113","Castilleja parviflora var. albida","Bong.","(Pennell) Ownbey","small-flower indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja parviflora","","","albida","native","S3S4 (2016)",NA,"1926-07-31","George Hardy","RBCM","V008055",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:135",NA,5,"reported","unobserved","UBC:  Garibaldi PP Table Mt.",154246,"VAS"
"114","Castilleja parviflora var. parviflora","Bong.","","small-flower indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja parviflora","","","parviflora","native","S5",NA,"1926-08-03","George Hardy","RBCM","V008056",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:136",NA,3,"reported","unobserved","UBC:  Garibaldi PP Little Diamond Head",154248,"VAS"
"115","Castilleja rhexiifolia","Rydb.","","rhexia-leaved indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Orobanchaceae","",NA,"Castilleja","Castilleja rhexiifolia","","","","native","S5 (2015)",NA,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108880",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:137",NA,3,"reported","unobserved","",117513,"VAS"
"116","Cerastium arvense ssp. strictum","L.","Gaudin","field chickweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Caryophyllaceae","Alsinoideae",NA,"Cerastium","Cerastium arvense","","strictum","","native","S5 (2015)",NA,"1914-04-26","W. Taylor","UBC","V7701",NA,"2022-05-20","RWorcester","iNaturalist","117881270",NA,18,"confirmed","observed","",50847,"VAS"
"117","Chamaenerion angustifolium","(L.) Scop.","","fireweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Myrtales","",NA,"Onagraceae","",NA,"Chamaenerion","Chamaenerion angustifolium","","","","native","S5 (2019)",NA,"1912-08-14","John Davidson","UBC","V63277",NA,"2022-10-09","adamrawski","iNaturalist","138192469",NA,138,"confirmed","observed","",564969,"VAS"
"118","Chamaenerion latifolium","(L.) Sweet","","dwarf fireweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Myrtales","",NA,"Onagraceae","",NA,"Chamaenerion","Chamaenerion latifolium","","","","native","S5 (2015)",NA,"1913-08-07","John Davidson","UBC","V26294",NA,"2022-08-22","kristinop","iNaturalist","131976443",NA,31,"confirmed","observed","Reported as: Chamerion latifolium",564970,"VAS"
"119","Cherleria biflora","(L.) A. J. Moore & Dillenb.","","mountain sandwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Caryophyllaceae","",NA,"Cherleria","Cherleria biflora","","","","native","S5 (2015)",NA,"1913-08-01","John Davidson","UBC","V7625",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:347",NA,7,"reported","unobserved","UBC:  Garibaldi PP Sentinel Gl foreland",836811,"VAS"
"120","Chimaphila menziesii","(R. Br. ex D. Don) Spreng","","little prince's pine","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Monotropoideae",NA,"Chimaphila","Chimaphila menziesii","","","","native","S5 (2015)",NA,"1984-08-14","Bruce A. Bohm","UBC","V194655",NA,"2022-09-19","cchurch99","iNaturalist","135754086",NA,40,"confirmed","observed","",62238,"VAS"
"121","Chimaphila umbellata","(L.) W.P.C. Barton","","pipsissewa","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Monotropoideae",NA,"Chimaphila","Chimaphila umbellata","","","","native","S5 (2015)",NA,"1984-08-14","Bruce A. Bohm","UBC","V194654",NA,"2022-09-30","Tse-Lynn Loh","iNaturalist","137069750",NA,63,"confirmed","observed","",62236,"VAS"
"122","Cicuta douglasii","(DC.) J.M. Coult. & Rose","","western water hemlock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Apiales","",NA,"Apiaceae","Apioideae",NA,"Cicuta","Cicuta douglasii","","","","native","S5 (2015)",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:146",NA,"2022-10-15","chloeslo","iNaturalist","138891167",NA,3,"new 2020","observed","",76338,"VAS"
"123","Circaea alpina ssp. pacifica","L.","(Asch. & Magnus) P.H.Raven","alpine enchanter's-nightshade","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Myrtales","",NA,"Onagraceae","",NA,"Circaea","Circaea alpina","","pacifica","","native","S5 (2020)",NA,"1897-06-01","Albert J. Hill","UBC","V26123",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:149",NA,2,"reported","unobserved","",79729,"VAS"
"124","Cirsium edule","Nutt.","","edible thistle","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Asterales","",NA,"Asteraceae","Carduoideae",NA,"Cirsium","Cirsium edule","","","","native","S5 (2019)",NA,"1912-08-13","John Davidson","UBC","V48078",NA,"2022-08-17","mkurys","iNaturalist","132100010",NA,14,"confirmed","observed","",143675,"VAS"
"125","Claytonia lanceolata","Pursh","","western springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Montiaceae","",NA,"Claytonia","Claytonia lanceolata","","","","native","S5 (2019)",NA,"1913-08-01","John Davidson","UBC","V34799",NA,"2022-07-22","Paolo Pietropaolo","iNaturalist","127713347",NA,7,"confirmed","observed","",62584,"VAS"
"126","Claytonia sibirica","L.","","candy flower","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Montiaceae","",NA,"Claytonia","Claytonia sibirica","","","","native","S5 (2015)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:54",NA,"2022-10-13","Kate McKeown","iNaturalist","139997890",NA,123,"confirmed","observed","",55767,"VAS"
"127","Clinopodium douglasii","(Benth.) Kuntze","","yerba buena","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Lamiaceae","Nepetoideae",NA,"Clinopodium","Clinopodium douglasii","","","","native","S5 (2015)",NA,"1993-05-24","Terry Taylor","RBCM","V182030",NA,"2021-10-17","islandsearch","iNaturalist","98556930",NA,5,"confirmed","observed","RBCM:  Bowen Island",53203,"VAS"
"128","Clintonia uniflora","(Menzies ex Schult. & Schult. f.) Kunth","","bride's bonnet","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Liliales","",NA,"Liliaceae","Lilioideae",NA,"Clintonia","Clintonia uniflora","","","","native","S5 (2015)",NA,"1967-06-24","P. Warrington","University of Lethbridge","",NA,"2022-11-01","maybejuju","iNaturalist","140835521",NA,125,"confirmed","observed","",76401,"VAS"
"129","Collinsia parviflora","Lindl.","","maiden blue-eyed mary","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales","",NA,"Plantaginaceae","",NA,"Collinsia","Collinsia parviflora","","","","native","S5 (2015)",NA,"2011-05-29","hillanddale","iNaturalist","9551464",NA,"2022-05-07","Jani","iNaturalist","115959944",NA,19,"confirmed","observed","",59013,"VAS"
"130","Collomia heterophylla","Douglas ex Hook.","","variableleaf collomia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Polemoniaceae","",NA,"Collomia","Collomia heterophylla","","","","native","S5 (2015)",NA,"1912-06-15","John Davidson","UBC","V27126",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:162",NA,5,"confirmed","observed","",52996,"VAS"
"131","Comarum palustre","L.","","marsh cinquefoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","Rosoideae",NA,"Comarum","Comarum palustre","","","","native","S5 (2019)",NA,"2019-07-09","Ben Keen","iNaturalist","28534846",NA,"2021-08-05","Cole Gaerber","iNaturalist","90408496",NA,3,"new 2019","observed","",62213,"VAS"
"132","Conioselinum gmelinii","(Cham. & Schltdl.) Steud.","","western hemlock-parsley","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Apiales","",NA,"Apiaceae","Apioideae",NA,"Conioselinum","Conioselinum gmelinii","","","","native","S5 (2015)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:22",NA,"2021-08-28","Chloe and Trevor Van Loon","iNaturalist","93953932",NA,5,"confirmed","observed","",160830,"VAS"
"133","Coptis aspleniifolia","Salisb.","","spleenwortleaf goldthread","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Ranunculaceae","Coptidoideae",NA,"Coptis","Coptis aspleniifolia","","","","native","S5 (2015)",NA,"1995-07-16","Straley, Gerald","USCH","",NA,"2022-08-26","John D Reynolds","iNaturalist","133787115",NA,12,"confirmed","observed","",160861,"VAS"
"134","Coptis trifolia","(L.) Salisb.","","threeleaf goldthread","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Ranunculaceae","Coptidoideae",NA,"Coptis","Coptis trifolia","","","","native","S5 (2015)",NA,"2018-06-27","kaiden","iNaturalist","73478843",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:165",NA,5,"new 2018","observed","",126251,"VAS"
"135","Corallorhiza maculata","(Raf.) Raf.","","spotted coralroot","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales","",NA,"Orchidaceae","Epidendroideae",NA,"Corallorhiza","Corallorhiza maculata","","","","native","S5 (2000)",NA,"1913-06-15","Fred Perry","UBC","V52040",NA,"2022-06-29","Elora Jane","iNaturalist","124033716",NA,12,"confirmed","observed","",49475,"VAS"
"136","Corallorhiza mertensiana","Bong","","Pacific coralroot","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales","",NA,"Orchidaceae","Epidendroideae",NA,"Corallorhiza","Corallorhiza mertensiana","","","","native","S5 (2015)",NA,"1913-07-28","A. E. Baggs","UBC","V47394",NA,"2022-08-27","pdawson9229","iNaturalist","132507636",NA,177,"confirmed","observed","",49444,"VAS"
"137","Cornus nuttallii","Audubon ex Torr. & A. Gray","","Pacific dogwood","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Cornales","",NA,"Cornaceae","",NA,"Cornus","Cornus nuttallii","","","","native","S5 (2015)",NA,"1995-04-28","Straley, Gerald","USCH","",NA,"2022-05-16","Lyrae","iNaturalist","117682869",NA,26,"confirmed","observed","",76447,"VAS"
"138","Cornus unalaschkensis","Ledeb.","","western dwarf dogwood","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Cornales","",NA,"Cornaceae","",NA,"Cornus","Cornus unalaschkensis","","","","native","S5 (2019)",NA,"1995-07-16","Straley, Gerald","USCH","",NA,"2022-10-16","aidz0597","iNaturalist","139018356",NA,127,"confirmed","observed","Reported as Cornus canadensis by Gerald B. Straley (USCH)",1096279,"VAS"
"139","Cryptogramma acrostichoides","R. Br.","","American parsley fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Pteridaceae","Cryptogrammoideae",NA,"Cryptogramma","Cryptogramma acrostichoides","","","","native","S5 (2015)",NA,"1916-06-12","Macoun, John M.","AUA","AUA000039808",NA,"2022-11-20","karinadsj","iNaturalist","142490014",NA,79,"confirmed","observed","",76536,"VAS"
"140","Cryptogramma cascadensis","A.R. Alverson","","Cascade parsley fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Pteridaceae","Cryptogrammoideae",NA,"Cryptogramma","Cryptogramma cascadensis","","","","native","S3S4 (2019)",NA,"2020-08-09","Steve Ansell","iNaturalist","68845874",NA,"2020-08-09","Steve Ansell","iNaturalist","68845874",NA,1,"new 2020","observed","",76537,"VAS"
"141","Cupressus nootkatensis","D.Don","","yellow cedar","Plantae","Tracheophyta","",NA,"Pinopsida","","","Pinales","",NA,"Cupressaceae","Cupressoideae",NA,"Cupressus","Cupressus nootkatensis","","","","native","S4 (2019)",NA,"1986-02-12","Tom C. Wells, Bruce A. Bohm, Leslie R. Bohm, W.J. Crins","UBC","V194548",NA,"2022-10-18","FreckLes","iNaturalist","139300023",NA,51,"confirmed","observed","UBC: Callitropsis nootkatensis",126792,"VAS"
"142","Cystopteris fragilis","(L.) Bernh.","","fragile fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Cystopteridaceae","",NA,"Cystopteris","Cystopteris fragilis","","","","native","S5 (2015)",NA,"2020-05-09","Chloe and Trevor Van Loon","iNaturalist","45683584",NA,"2022-08-13","laurenmckenna1206","iNaturalist","130957233",NA,13,"new 2020","observed","",58755,"VAS"
"143","Danthonia intermedia","Vasey","","none","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","",NA,"Danthonia","Danthonia intermedia","","","","native","S5 (2015)",NA,"1938-08-13","John Eastham","RBCM","V011263",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:175",NA,8,"reported","unobserved","UBC:  Horseshoe Bay Whytecliff Park",945362,"VAS"
"144","Deschampsia cespitosa","(L.) P. Beauv.","","tufted hair grass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","",NA,"Deschampsia","Deschampsia cespitosa","","","","native","S5 (2000)",NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:25",NA,"2019-09-21","Ben Keen","iNaturalist","33163917",NA,2,"confirmed","observed","",76639,"VAS"
"145","Dicentra formosa ssp. formosa","(Haw.) Walp.","","Pacific bleedingheart","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ranunculales","",NA,"Papaveraceae","Fumarioideae",NA,"Dicentra","Dicentra formosa","","formosa","","native","S5 (2019)",NA,"1961-05-25","Katherine I. Beamish, Freek Vrugtman","UBC","V101043",NA,"2022-09-25","Clare Kilgour","iNaturalist","136534418",NA,190,"confirmed","observed","",51049,"VAS"
"146","Diphasiastrum alpinum","(L.) Holub","","alpine clubmoss","Plantae","Tracheophyta","",NA,"Lycopodiopsida","","","Lycopodiales","",NA,"Lycopodiaceae","Lycopodioideae",NA,"Diphasiastrum","Diphasiastrum alpinum","","","","native","S5 (2015)",NA,"1912-08-11","John Davidson","UBC","V48564",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:181",NA,3,"reported","unobserved","",82393,"VAS"
"147","Diphasiastrum complanatum","(L.) Holub","","northern ground-cedar","Plantae","Tracheophyta","",NA,"Lycopodiopsida","","","Lycopodiales","",NA,"Lycopodiaceae","Lycopodioideae",NA,"Diphasiastrum","Diphasiastrum complanatum","","","","native","S5 (2015)",NA,"1942-08-21","John Eastham","RBCM","V015082",NA,"2022-08-27","pdawson9229","iNaturalist","132504513",NA,5,"confirmed","observed","",82391,"VAS"
"148","Diphasiastrum sitchense","(Rupr.) Holub","","Sitka clubmoss","Plantae","Tracheophyta","",NA,"Lycopodiopsida","","","Lycopodiales","",NA,"Lycopodiaceae","Lycopodioideae",NA,"Diphasiastrum","Diphasiastrum sitchense","","","","native","S5 (2015)",NA,"1913-08-07","John Davidson","UBC","V3990",NA,"2022-09-07","Randal","iNaturalist","134133604",NA,15,"confirmed","observed","",204303,"VAS"
"149","Draba albertina","Greene","","slender draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Draba","Draba albertina","","","","native","S5 (2019)",NA,"1912-08-15","John Davidson","UBC","V64031",NA,"1912-08-15","John Davidson","UBC","V64031",NA,1,"reported","unobserved","UBC: Helm Lake, Garibaldi  PP",76687,"VAS"
"150","Draba lonchocarpa","Rydb.","","spear-fruited draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Draba","Draba lonchocarpa","","","","native","S5 (2019)",NA,"1965-07-01","Bruce Fraser","UBC","V158275",NA,"1965-07-01","Bruce Fraser","UBC","V158275",NA,1,"reported","unobserved","UBC:  Garibaldi PP (location withheld)",76701,"VAS"
"151","Draba praealta","Greene","","tall draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Draba","Draba praealta","","","","native","S5? (2019)",NA,"1967-06-24","Pat Warrington","University of Lethbridge","",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:186",NA,2,"reported","unobserved","U Lethbridge: The Barrier, Garibaldi PP",76707,"VAS"
"152","Draba stenoloba","Ledeb.","","Alaska draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Brassicales","",NA,"Brassicaceae","",NA,"Draba","Draba stenoloba","","","","native","S5 (2019)",NA,"1913-07-30","John Davidson","UBC","V12795",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:187",NA,4,"reported","unobserved","UBC:  Sphinx Gl. Forelands, Garibaldi PP",162069,"VAS"
"153","Drosera rotundifolia","L.","","round-leaved sundew","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Caryophyllales","",NA,"Droseraceae","",NA,"Drosera","Drosera rotundifolia","","","","native","S5 (2015)",NA,"2008-07-15","hillanddale","iNaturalist","9551299",NA,"2022-08-26","John D Reynolds","iNaturalist","133787063",NA,50,"confirmed","observed","",52658,"VAS"
"154","Dryas drummondii","Richardson ex Hook.","","yellow mountain-avens","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Rosales","",NA,"Rosaceae","Dryadoideae",NA,"Dryas","Dryas drummondii","","","","native","S5 (2019)",NA,"2022-08-05","b_roskilly","iNaturalist","129987013",NA,"2022-09-24","jackbradley","iNaturalist","136585042",NA,3,"new 2022","observed","",83540,"VAS"
"155","Dryopteris expansa","(C. Presl) Fraser-Jenkins & Jermy","","spreading wood fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","",NA,"Dryopteridaceae","Dryopteridoideae",NA,"Dryopteris","Dryopteris expansa","","","","native","S5 (2015)",NA,"1963-05-17","L. Orloci","UBC","V101052",NA,"2022-11-27","spea","iNaturalist","143106927",NA,116,"confirmed","observed","",64055,"VAS"
"156","Dryopteris filix-mas","(L.) Schott","","male fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales","Polypodiineae",NA,"Dryopteridaceae","Dryopteridoideae",NA,"Dryopteris","Dryopteris filix-mas","","","","native","S5 (2019)",NA,"1960-06-09","L. Orbis","UBC","V89159",NA,"2022-08-12","lauramaypollock","iNaturalist","130569484",NA,27,"confirmed","observed","",76721,"VAS"
"157","Eleocharis mamillata ssp. mamillata","(H.Lindb.) H.Lindb.","","nipple spike-rush ","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Eleocharis","Eleocharis mamillata","","mamillata","","native","S5 (2019)",NA,"2016-09-13","Frank Lomer, Su-hui Lomer","UBC","V251379",NA,"2016-09-13","Frank Lomer, Su-hui Lomer","UBC","V251379",NA,1,"new 2016","unobserved","",235769,"VAS"
"158","Eleocharis palustris","(L.) Roem. & Schult.","","common spike-rush","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Eleocharis","Eleocharis palustris","","","","native","S5 (2015)",NA,"1980-01-01","L. Jones","RBCM","V199574",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:194",NA,3,"reported","unobserved","",76782,"VAS"
"159","Eleocharis uniglumis","(Link) Schult.","","creeping spike-rush","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Cyperaceae","Cyperoideae",NA,"Eleocharis","Eleocharis uniglumis","","","","native","S4S5 (2019)",NA,"2018-07-14","Frank Lomer","UBC","V252988",NA,"2018-07-14","Frank Lomer","UBC","V252988",NA,1,"new 2018","unobserved","",162264,"VAS"
"160","Elliottia pyroliflora","(Bong.) S.W. Brim & P.F. Stevens","","copperbush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Ericales","",NA,"Ericaceae","Ericoideae",NA,"Elliottia","Elliottia pyroliflora","","","","native","S5 (2015)",NA,"1965-07-09","Jake P. Luitjens","UBC","V16655",NA,"2022-09-20","Yousif Attia","iNaturalist","135842306",NA,98,"confirmed","observed","",126553,"VAS"
"161","Elymus elymoides ssp. californicus","(Raf.) Swezey","(J.G.Sm.) Barkworth","California squirrel-tail","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales","",NA,"Poaceae","Pooideae",NA,"Elymus","Elymus elymoides","","californicus","","native","S4 (2001)",NA,"1966-08-16","B. Fraser","UBC","V241359",NA,"2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:196",NA,3,"reported","unobserved","",80698,"VAS"
